year,UnEmployeeRate,movieScore
1988,4.791666666666668,5.687878787878788
1989,4.600000000000001,6.223181818181819
1990,5.033333333333334,6.138636363636362
1991,6.216666666666666,6.236818181818181
1992,6.758333333333333,6.334545454545456
1993,6.158333333333335,6.387272727272727
1994,5.316666666666666,6.35363636363636
1995,4.8583333333333325,6.273636363636367
1996,4.666666666666667,6.376818181818182
1997,4.2250000000000005,6.203181818181817
1998,3.8333333333333326,6.309545454545455
1999,3.591666666666667,6.396363636363637
2000,3.433333333333333,6.392272727272733
2001,4.291666666666667,6.346818181818183
2002,5.2,6.444545454545455
2003,5.375,6.369545454545453
2004,4.8999999999999995,6.3768181818181775
2005,4.449999999999999,6.49636363636364
2006,4.066666666666666,6.394090909090907
2007,4.108333333333333,6.47863636363636
2008,5.425000000000001,6.474545454545455
2009,8.775,6.364090909090911
2010,8.925,6.4386363636363635
2011,8.275,6.468181818181816
2012,7.425,6.456818181818185
2013,6.658333333333334,6.439545454545452
2014,5.575,6.579999999999997
2015,4.783333333333334,6.560454545454549
2016,4.458333333333333,6.499545454545455
